ticker,year_month,period_end,open,high,low,close,r3,s3,pct_range_r3,error
AJANTPHARM.NS,2025-11,2025-11-01,2484.0,2622.0,2446.0,2561.0,2609.0,2513.0,3.82,
ABBOTINDIA.NS,2025-11,2025-11-01,29000.0,30655.0,28600.0,30075.0,30640.0,29510.0,3.83,
IRCTC.NS,2025-11,2025-11-01,719.0,725.0,676.0,687.0,700.0,674.0,3.86,
TATAELXSI.NS,2025-11,2025-11-01,5453.0,5480.0,5125.0,5158.0,5256.0,5060.0,3.87,
TCS.NS,2025-11,2025-11-01,3047.0,3180.0,2960.0,3138.0,3198.0,3078.0,3.9,
ITCHOTELS.NS,2025-11,2025-11-01,218.0,218.0,204.0,209.0,213.0,205.0,3.9,
APLAPOLLO.NS,2025-11,2025-11-01,1798.0,1811.0,1690.0,1719.0,1752.0,1686.0,3.91,
LUPIN.NS,2025-11,2025-11-01,1967.0,2091.0,1944.0,2082.0,2122.0,2042.0,3.92,
ICICIPRULI.NS,2025-11,2025-11-01,593.0,635.0,590.0,620.0,632.0,608.0,3.95,
BEL.NS,2025-11,2025-11-01,428.0,431.0,401.0,412.0,420.0,404.0,3.96,
JIOFIN.NS,2025-11,2025-11-01,306.0,317.0,294.0,306.0,312.0,300.0,4.0,
UNIONBANK.NS,2025-11,2025-11-01,149.0,158.0,148.0,153.0,156.0,150.0,4.0,
BAJAJ-AUTO.NS,2025-11,2025-11-01,8900.0,9254.0,8605.0,9074.0,9252.0,8896.0,4.0,
SUNDARMFIN.NS,2025-11,2025-11-01,4577.0,4890.0,4550.0,4729.0,4822.0,4636.0,4.01,
M&M.NS,2025-11,2025-11-01,3511.0,3781.0,3511.0,3757.0,3831.0,3683.0,4.02,
ADANIPORTS.NS,2025-11,2025-11-01,1452.0,1534.0,1425.0,1517.0,1547.0,1487.0,4.03,
RELIANCE.NS,2025-11,2025-11-01,1486.0,1581.0,1470.0,1568.0,1599.0,1537.0,4.03,
TORNTPOWER.NS,2025-11,2025-11-01,1316.0,1352.0,1258.0,1314.0,1340.0,1288.0,4.04,
ZEEL.NS,2025-11,2025-11-01,101.0,105.0,96.0,101.0,103.0,99.0,4.04,
SRF.NS,2025-11,2025-11-01,2910.0,2984.0,2772.0,2927.0,2985.0,2869.0,4.04,
SBILIFE.NS,2025-11,2025-11-01,1950.0,2087.0,1945.0,1966.0,2005.0,1927.0,4.05,
JYOTHYLAB.NS,2025-11,2025-11-01,315.0,319.0,299.0,300.0,306.0,294.0,4.08,
BANDHANBNK.NS,2025-11,2025-11-01,157.0,159.0,148.0,150.0,153.0,147.0,4.08,
INDIGO.NS,2025-11,2025-11-01,5625.0,5970.0,5541.0,5902.0,6020.0,5784.0,4.08,
PHOENIXLTD.NS,2025-11,2025-11-01,1695.0,1786.0,1660.0,1737.0,1772.0,1702.0,4.11,
TITAN.NS,2025-11,2025-11-01,3730.0,3956.0,3667.0,3908.0,3987.0,3829.0,4.13,
AXISBANK.NS,2025-11,2025-11-01,1226.0,1304.0,1209.0,1280.0,1306.0,1254.0,4.15,
LAURUSLABS.NS,2025-11,2025-11-01,958.0,1034.0,956.0,1031.0,1052.0,1010.0,4.16,
BANKINDIA.NS,2025-11,2025-11-01,141.0,151.0,139.0,147.0,150.0,144.0,4.17,
ABB.NS,2025-11,2025-11-01,5215.0,5280.0,4896.0,5175.0,5281.0,5069.0,4.18,
CYIENT.NS,2025-11,2025-11-01,1162.0,1182.0,1097.0,1124.0,1147.0,1101.0,4.18,
CUMMINSIND.NS,2025-11,2025-11-01,4346.0,4519.0,4183.0,4479.0,4571.0,4387.0,4.19,
CHOLAFIN.NS,2025-11,2025-11-01,1698.0,1777.0,1645.0,1736.0,1772.0,1700.0,4.24,
LT.NS,2025-11,2025-11-01,4030.0,4140.0,3831.0,4070.0,4155.0,3985.0,4.27,
HDFCLIFE.NS,2025-11,2025-11-01,730.0,788.0,728.0,764.0,780.0,748.0,4.28,
NTPCGREEN.NS,2025-11,2025-11-01,103.0,103.0,94.0,95.0,97.0,93.0,4.3,
PATANJALI.NS,2025-11,2025-11-01,607.0,607.0,565.0,568.0,580.0,556.0,4.32,
TATACOMM.NS,2025-11,2025-11-01,1875.0,1948.0,1808.0,1815.0,1854.0,1776.0,4.39,
IEX.NS,2025-11,2025-11-01,140.0,145.0,135.0,139.0,142.0,136.0,4.41,
SUNTV.NS,2025-11,2025-11-01,561.0,578.0,533.0,556.0,568.0,544.0,4.41,
FACT.NS,2025-11,2025-11-01,906.0,926.0,856.0,876.0,895.0,857.0,4.43,
MGL.NS,2025-11,2025-11-01,1271.0,1286.0,1192.0,1200.0,1226.0,1174.0,4.43,
MSUMI.NS,2025-11,2025-11-01,47.0,49.0,45.0,46.0,47.0,45.0,4.44,
PFIZER.NS,2025-11,2025-11-01,5212.0,5339.0,4948.0,4975.0,5083.0,4867.0,4.44,
