ticker,year_month,period_end,open,high,low,close,r3,s3,pct_range_r3,error
BHARTIHEXA.NS,2025-12,2025-12-01,1761.0,1850.0,1660.0,1822.0,1874.0,1770.0,5.88,
CYIENT.NS,2025-12,2025-12-01,1130.0,1194.0,1076.0,1118.0,1150.0,1086.0,5.89,
GODREJCP.NS,2025-12,2025-12-01,1145.0,1235.0,1108.0,1222.0,1257.0,1187.0,5.9,
TATAINVEST.NS,2025-12,2025-12-01,748.0,762.0,690.0,698.0,718.0,678.0,5.9,
HEXT.NS,2025-12,2025-12-01,760.0,808.0,729.0,766.0,788.0,744.0,5.91,
FINPIPE.NS,2025-12,2025-12-01,179.0,180.0,162.0,174.0,179.0,169.0,5.92,
ETERNAL.NS,2025-12,2025-12-01,302.0,305.0,275.0,278.0,286.0,270.0,5.93,
HINDUNILVR.NS,2025-12,2025-12-01,2467.0,2488.0,2245.0,2316.0,2383.0,2249.0,5.96,
JSWENERGY.NS,2025-12,2025-12-01,489.0,493.0,443.0,482.0,496.0,468.0,5.98,
APARINDS.NS,2025-12,2025-12-01,9232.0,9232.0,8350.0,8368.0,8611.0,8125.0,5.98,
GUJGASLTD.NS,2025-12,2025-12-01,396.0,422.0,379.0,412.0,424.0,400.0,6.0,
IDBI.NS,2025-12,2025-12-01,101.0,105.0,93.0,103.0,106.0,100.0,6.0,
CHOLAHLDNG.NS,2025-12,2025-12-01,1844.0,1979.0,1785.0,1813.0,1866.0,1760.0,6.02,
REDINGTON.NS,2025-12,2025-12-01,281.0,289.0,261.0,272.0,280.0,264.0,6.06,
VMM.NS,2025-12,2025-12-01,136.0,140.0,125.0,136.0,140.0,132.0,6.06,
ACE.NS,2025-12,2025-12-01,996.0,1010.0,909.0,947.0,975.0,919.0,6.09,
AWL.NS,2025-12,2025-12-01,260.0,262.0,235.0,237.0,244.0,230.0,6.09,
GLAND.NS,2025-12,2025-12-01,1768.0,1815.0,1630.0,1722.0,1773.0,1671.0,6.1,
JINDALSAW.NS,2025-12,2025-12-01,164.0,171.0,153.0,168.0,173.0,163.0,6.13,
J&KBANK.NS,2025-12,2025-12-01,107.0,109.0,97.0,100.0,103.0,97.0,6.19,
SOBHA.NS,2025-12,2025-12-01,1548.0,1556.0,1395.0,1459.0,1503.0,1415.0,6.22,
